Year,County_of_Residence,County_of_Residence_FIPS,Maternal_Morbidity_Desc,Maternal_Morbidity_YN,Births,Ave_Age_of_Mother,Ave_OE_Gestational_Age_Wks,Ave_LMP_Gestational_Age_Wks,Ave_Birth_Weight_gms,Ave_Pre_pregnancy_BMI,Ave_Number_of_Prenatal_Wks
2018-01-01,"Milwaukee County, WI",55079,None checked,1,12657,28.5,38.23,38.4,3173.19,28.27,11.79
2018-01-01,"Pinal County, AZ",04021,None checked,1,4456,27.81,38.49,38.65,3311.14,28.1,11.67
2018-01-01,"Merced County, CA",06047,None checked,1,3839,27.97,38.5,38.65,3310.08,29.15,10.49
2018-01-01,"Hartford County, CT",09003,None checked,1,9138,30.04,38.42,38.65,3256.82,27.24,11.74
2018-01-01,"McLean County, IL",17113,None checked,1,1775,29.05,38.48,38.65,3327.34,27.86,11.96
2018-01-01,"Harford County, MD",24025,None checked,1,2594,30.16,38.43,38.65,3324.66,27.44,11.36
2018-01-01,"Camden County, NJ",34007,None checked,1,6083,29.59,38.51,38.65,3255.01,28.04,10.08
2018-01-01,"Santa Fe County, NM",35049,None checked,1,1163,28.78,38.44,38.65,3115.51,26.24,10.02
2018-01-01,"Durham County, NC",37063,None checked,1,4103,29.91,38.51,38.65,3250.25,26.96,13.53
2018-01-01,"Iredell County, NC",37097,None checked,1,1857,28.63,38.42,38.65,3263.08,27.31,11.58
2018-01-01,"Monroe County, PA",42089,None checked,1,1494,29.1,38.58,38.65,3259.14,27.68,12.44
2018-01-01,"Shasta County, CA",06089,None checked,1,1957,28.45,38.79,38.9,3334.15,26.86,11.12
2018-01-01,"Cowlitz County, WA",53015,None checked,1,1219,27.55,38.64,38.9,3355.4,28.0,12.11
2018-01-01,"King County, WA",53033,None checked,1,23692,31.57,38.72,38.9,3316.39,25.61,11.35
2018-01-01,"Kitsap County, WA",53035,None checked,1,2956,28.94,38.7,38.9,3381.47,26.87,10.24
2018-01-01,"Oswego County, NY",36075,None checked,1,1190,28.13,38.82,39.15,3397.95,29.51,12.6
